Bietry_1.10	AA	3
Bietry_1.10	CE	3
Bietry_1.10	GH	8
Bietry_1.10	GT	8
Bietry_1.11	AA	1
Bietry_1.11	CBM	3
Bietry_1.11	CE	4
Bietry_1.11	GH	22
Bietry_1.11	GT	72
Bietry_1.11	PL	2
Bietry_1.4	AA	2
Bietry_1.4	CBM	4
Bietry_1.4	CE	5
Bietry_1.4	GH	17
Bietry_1.4	GT	12
Bietry_1.6	AA	4
Bietry_1.6	CBM	1
Bietry_1.6	CE	2
Bietry_1.6	GH	18
Bietry_1.6	GT	30
Bietry_1.8	AA	4
Bietry_1.8	CE	3
Bietry_1.8	GH	6
Bietry_1.8	GT	13
Bietry_2.20	AA	13
Bietry_2.20	CBM	2
Bietry_2.20	CE	7
Bietry_2.20	GH	34
Bietry_2.20	GT	50
Bietry_2.21	AA	3
Bietry_2.21	CBM	1
Bietry_2.21	CE	10
Bietry_2.21	GH	15
Bietry_2.21	GT	54
Bietry_2.21	PL	2
Bietry_2.8	AA	4
Bietry_2.8	CE	1
Bietry_2.8	GH	6
Bietry_2.8	GT	8
Bietry_3.10	AA	2
Bietry_3.10	CBM	3
Bietry_3.10	CE	8
Bietry_3.10	GH	18
Bietry_3.10	GT	30
Bietry_3.15	AA	1
Bietry_3.15	CBM	7
Bietry_3.15	CE	9
Bietry_3.15	GH	36
Bietry_3.15	GT	27
Bietry_3.17	AA	3
Bietry_3.17	CBM	1
Bietry_3.17	CE	5
Bietry_3.17	GH	9
Bietry_3.17	GT	15
Bietry_3.19	CE	5
Bietry_3.19	GH	5
Bietry_3.19	GT	11
Bietry_3.26	AA	7
Bietry_3.26	CBM	2
Bietry_3.26	CE	5
Bietry_3.26	GH	30
Bietry_3.26	GT	24
Bietry_3.3	AA	2
Bietry_3.3	GH	8
Bietry_3.3	GT	7
Bietry_3.36	AA	1
Bietry_3.36	GT	4
Bietry_3.40	AA	7
Bietry_3.40	CE	6
Bietry_3.40	GH	18
Bietry_3.40	GT	24
Bietry_3.5	CBM	2
Bietry_3.5	CE	2
Bietry_3.5	GH	12
Bietry_3.5	GT	13
Bietry_3.6	CBM	1
Bietry_3.6	CE	2
Bietry_3.6	GH	8
Bietry_3.6	GT	11
Bietry_3.9	AA	5
Bietry_3.9	CBM	3
Bietry_3.9	CE	13
Bietry_3.9	GH	24
Bietry_3.9	GT	36
Kassembie_1.3	AA	12
Kassembie_1.3	CE	16
Kassembie_1.3	GH	46
Kassembie_1.3	GT	57
Kassembie_1.3	PL	4
Kassembie_2.10	AA	7
Kassembie_2.10	CE	1
Kassembie_2.10	GH	6
Kassembie_2.10	GT	51
Kassembie_2.13	AA	6
Kassembie_2.13	CBM	1
Kassembie_2.13	CE	8
Kassembie_2.13	GH	16
Kassembie_2.13	GT	37
Kassembie_2.16	AA	10
Kassembie_2.16	CE	7
Kassembie_2.16	GH	15
Kassembie_2.16	GT	20
Kassembie_2.19	CBM	5
Kassembie_2.19	CE	4
Kassembie_2.19	GH	18
Kassembie_2.19	GT	40
Kassembie_2.19	PL	2
Kassembie_2.2	AA	1
Kassembie_2.2	CBM	3
Kassembie_2.2	CE	14
Kassembie_2.2	GH	29
Kassembie_2.2	GT	42
Kassembie_2.20	AA	5
Kassembie_2.20	CBM	3
Kassembie_2.20	CE	6
Kassembie_2.20	GH	32
Kassembie_2.20	GT	26
Kassembie_2.20	PL	1
Kassembie_2.21	AA	4
Kassembie_2.21	CBM	10
