bin,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2
Kassembie_2.34.fa,,,0,,9.214075
Kassembie_2.35.fa,,,0,,117.3555
Kassembie_2.36.fa,,,0,,17.9772
Kassembie_2.37.fa,,,0,,20.6559
Kassembie_2.38.fa,,,0,,10.48185
Kassembie_2.39.fa,,,0,,46.6764
Kassembie_2.4.fa,,,0,,121.306
Kassembie_2.40.fa,,,0,,241.635
Kassembie_2.41.fa,,,0,,12.1812
Kassembie_2.42.fa,,,0,,7.81471
Kassembie_2.43.fa,,,0,,232.3095
Kassembie_2.44.fa,,,0,,28.6022
Kassembie_2.45.fa,,,0,,13.2608
Kassembie_2.46.fa,,,0,,11.4475
Kassembie_2.47.fa,,,0,,12.3955
Kassembie_2.48.fa,,,0,,119.1565
Kassembie_2.49.fa,,,0,,12.8721
Kassembie_2.5.fa,,,0,,30.1475
Kassembie_2.50.fa,,,0,,10.1415
Kassembie_2.51.fa,,,0,,37.1634
Kassembie_2.52.fa,,,0,,22.7156
Kassembie_2.53.fa,,,0,,28.7285
Kassembie_2.54.fa,,,0,,11.6186
Kassembie_2.55.fa,,,0,,11.2789
Kassembie_2.56.fa,,,0,,6.76393
Kassembie_2.6.fa,,,0,,227.927
Kassembie_2.7.fa,,,0,,11.9825
Kassembie_2.8.fa,,,0,,26.38735
Kassembie_2.9.fa,,,0,,30.9606
