kingdom;phylum;class;order;family;genus;species;SGB;Bietry_1;Bietry_2;Bietry_3;Kassembie_1;Kassembie_2
k__Bacteria;p__Actinomycetota;c__CFGB67380;o__OFGB67380;f__FGB67380;g__GGB60247;s__GGB60247_SGB82192;t__SGB82192;0.0013;0.00199;0.00039;0.0;0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Mesobacillus;s__Mesobacillus_subterraneus;t__SGB154082;0.00118;0.00096;0.0;0.0;0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__Mangrovibacterium;s__Mangrovibacterium_diazotrophicum;t__SGB27889;0.00103;0.0;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Defluviimonas;s__Defluviimonas_SGB90463;t__SGB90463;0.00099;0.00208;0.01567;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae;g__Marinobacter;s__Marinobacter_nauticus;t__SGB11915;0.00094;0.12466;0.0;0.0;0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Cytobacillus;s__Cytobacillus_oceanisediminis;t__SGB7551;0.00091;0.00805;0.0;0.0;0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Proteiniclasticum;s__Proteiniclasticum_ruminis;t__SGB4012;0.00088;0.0;0.0;0.0;0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus_urinaeequi;t__SGB7897;0.00083;0.0;0.00961;0.0;0.0
k__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__GGB75461;s__GGB75461_SGB170944;t__SGB170944;0.00082;5,00E-05;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter_immobilis;t__SGB10460;0.0008;0.0;0.02231;0.0;0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_aquiflavi;t__SGB77454;0.00077;0.0;0.0;0.0;0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Mesobacillus;s__Mesobacillus_jeotgali;t__SGB30253;0.00075;0.00071;0.0;0.0;0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Cytobacillus;s__Cytobacillus_firmus;t__SGB25148;0.00073;0.01668;0.0;0.0;0.0
k__Bacteria;p__Planctomycetota;c__CFGB25759;o__OFGB25759;f__FGB25759;g__GGB98529;s__GGB98529_SGB137755;t__SGB137755;0.00071;0.00161;0.05519;0.0;0.0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_schleiferi;t__SGB23851;0.00066;0.0;0.07064;0.0;0.0
