phylum,family,genus,species,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,mean_polluted,mean_control,LFC
p__Pseudomonadota,f__Comamonadaceae,g__Curvibacter,s__Curvibacter_gracilis,0,0,0,0,6.78222,0,3.39111,-11.727967239315955
p__Pseudomonadota,f__Nitrobacteraceae,g__GGB66219,s__GGB66219_SGB89725,0,0,0,6.2193,0,0,3.10965,-11.60300036141464
p__Pseudomonadota,f__Burkholderiaceae,g__Paraburkholderia,s__Paraburkholderia_mimosarum,0,0,0,5.94878,0,0,2.97439,-11.538863067095953
p__Pseudomonadota,f__Burkholderiaceae,g__Paraburkholderia,s__Paraburkholderia_unamae,0,0,0,5.66386,0,0,2.83193,-11.468079238689945
p__Actinomycetota,f__Mycobacteriaceae,g__GGB64396,s__GGB64396_SGB129711,0,0,0,4.73072,0,0,2.36536,-11.208453855679688
p__Actinomycetota,f__Microbacteriaceae,g__Leifsonia,s__Leifsonia_shinshuensis,0,0,0,2.80108,1.62634,0,2.21371,-11.112902085495357
p__Pseudomonadota,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_sp_GCEP_101,0,0,0,0,4.35502,0,2.17751,-11.089126020323842
p__Actinomycetota,f__Micrococcaceae,g__Sinomonas,s__Sinomonas_atrocyanea,0,0,0,4.21858,0,0,2.10929,-11.043225555069975
p__Pseudomonadota,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_vanderleydeniana,0,0,0,0,3.65604,0,1.82802,-10.836855135442025
p__Verrucomicrobiota,f__FGB2153,g__GGB95786,s__GGB95786_SGB125685,0,0,0,3.38618,0,0,1.69309,-10.726294805793012
p__Pseudomonadota,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_asiatica,0,0,0,0,2.92236,0,1.46118,-10.513905208211387
p__Pseudomonadota,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_haemolytica,0,0,0,0,2.67724,0,1.33862,-10.38760810484998
p__Firmicutes,f__Bacillaceae,g__Heyndrickxia,s__Heyndrickxia_acidicola,0,0,0,2.49918,0,0,1.24959,-10.288393170954613
