taxon,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,total
Flavobacterium stagni,0,0,0,0,0.00892,0.00892
Erythrobacter sp YJ T3 07,0,0.00635,0.00247,0,0,0.00882
Qipengyuania profundimaris,0,0,0.00882,0,0,0.00882
GGB24405 SGB36246,0,0,0,0,0.00876,0.00876
Nitratireductor aquimarinus,0,0.0087,0,0,0,0.0087
Planomicrobium okeanokoites,0,0,0.00867,0,0,0.00867
Vreelandella venusta,0,0,0.00861,0,0,0.00861
Chryseobacterium gambrini,0,0,0,0,0.0086,0.0086
GGB26910 SGB39105,0.00731,0.00122,0,0,0,0.00853
Actinospica acidiphila,0,0,0.00848,0,0,0.00848
Cytobacillus kochii,0,0.00649,0.00166,0,0,0.008150000000000001
Massilia agilis,0,0,0,0.00814,0,0.00814
Microbacterium maritypicum,0,0,0.0081,0,0,0.0081
Microbacterium algeriense,0,0,0.00809,0,0,0.00809
Glutamicibacter soli,0,0.00804,0,0,0,0.00804
Methylovulum psychrotolerans,0,0,0,0,0.00798,0.00798
Bacillus sp SB49,0,0,0.00796,0,0,0.00796
Agromyces mediolanus,0,0.00793,0,0,0,0.00793
GGB97621 SGB137707,0,0,0.00793,0,0,0.00793
GGB56036 SGB208952,0,0,0.00786,0,0,0.00786
Qipengyuania sp XHP0211,0,0,0.00777,0,0,0.00777
Psychrobacter proteolyticus,0.00533,0,0.00244,0,0,0.007769999999999999
Yokenella regensburgei,0,0,0,0,0.00769,0.00769
GGB132915 SGB181538,0,0,0.00767,0,0,0.00767
Microbacterium paludicola,0,0,0.00761,0,0,0.00761
Ilumatobacter fluminis,3.7e-4,0.00134,0.00588,0,0,0.0075899999999999995
Agromyces indicus,0,0.00168,0.00588,0,0,0.00756
Bacillus sp ISL 55,0.00547,0.00204,0,0,0,0.00751
Bizionia paragorgiae,0,0,0.00749,0,0,0.00749
Brachybacterium squillarum,0,0,0.00747,0,0,0.00747
Metabacillus indicus,0,0.00638,0.00107,0,0,0.00745
Actinospica acidithermotolerans,0,0,0,0.0074,0,0.0074
Demequina sp NBRC 110055,0,0,0.00739,0,0,0.00739
GGB92869 SGB131016,0,0,0,0.00735,0,0.00735
GGB46913 SGB64825,0,0,0.00733,0,0,0.00733
Alteraurantiacibacter aquimixticola,0,0,0.00732,0,0,0.00732
GGB52803 SGB130045,0,0,0,0.00731,0,0.00731
Microbacterium sp 5K110,0,0,0.00723,0,0,0.00723
Nocardiopsis alba,0,0,0.00721,0,0,0.00721
Subsaxibacter sp CAU 1640,0,0.00714,0,0,0,0.00714
Ruegeria pomeroyi,0.00167,0,0.00539,0,0,0.00706
Planobacterium oryzisoli,0,0,0.00698,0,0,0.00698
Bacillus sp ISL 41,0.00264,0.00433,0,0,0,0.00697
Arenibacter troitsensis,0,0.00692,0,0,0,0.00692
Pseudooceanicola nanhaiensis,0,0.00684,0,0,0,0.00684
Gemmobacter lutimaris,0,0.00679,0,0,0,0.00679
Paenibacillus camelliae,0,0.00676,0,0,0,0.00676
Aequorivita viscosa,0,0,0.00664,0,0,0.00664
Qipengyuania aurantiaca,0,0.00107,0.0055,0,0,0.0065699999999999995
Microbacterium ihumii,0,0,0.00652,0,0,0.00652
Halopseudomonas aestusnigri,0.00637,0,0,0,0,0.00637
Aliiroseovarius crassostreae,0,0,0.00635,0,0,0.00635
Carnobacterium jeotgali,0.00634,0,0,0,0,0.00634
Novosphingobium sp KACC 22771,0,0,0,0,0.0063,0.0063
Duganella qianjiadongensis,0,0,0,0,0.00624,0.00624
Hanstruepera neustonica,0.00138,0.00267,0.00214,0,0,0.00619
Rhodalgimonas zhirmunskyi,0.00153,0,0.00462,0,0,0.00615
Clostridium butyricum,0.00612,0,0,0,0,0.00612
Salegentibacter maritimus,0,0,0.00608,0,0,0.00608
GGB142108 SGB213955,0,0,0.00601,0,0,0.00601
Agrobacterium pusense,0,0,0,0,0.00594,0.00594
Metabacillus halosaccharovorans,0,0.00593,0,0,0,0.00593
Paracoccus sp C2R09,0,0,0.0059,0,0,0.0059
Pseudooceanicola nitratireducens,0,0,0.00582,0,0,0.00582
Flagellimonas alvinocaridis,0,0.00575,0,0,0,0.00575
Acinetobacter towneri,0,0,0.00557,0,0,0.00557
Azospirillum cavernae,0,0,0,0,0.00551,0.00551
Paracoccus xiamenensis,0,0,0.00545,0,0,0.00545
GGB43144 SGB60398,0,0,0.00528,0,0,0.00528
Ornithinimicrobium pekingense,0,0,0.00528,0,0,0.00528
Aliiroseovarius zhejiangensis,0,0.00525,0,0,0,0.00525
Erythrobacter aurantius,0,0,0.00523,0,0,0.00523
Zhihengliuella sp ISTPL4,0,0,0.00518,0,0,0.00518
GGB9634 SGB15095,0,0,0.00512,0,0,0.00512
Robiginitalea sediminis,0.00175,0.00326,0,0,0,0.00501
Kocuria oceani,0,0,0.00499,0,0,0.00499
Pectinatus brassicae,0,0,0.00488,0,0,0.00488
GGB131183 SGB183046,0,0,0.00479,0,0,0.00479
Microbacterium sp nov GSS16,0,0,0.00471,0,0,0.00471
GGB42066 SGB59206,0,0,0.00467,0,0,0.00467
Jeotgalibaca dankookensis,0.00458,0,0,0,0,0.00458
GGB49933 SGB69928,0,0,0.00452,0,0,0.00452
Halomonas campaniensis,0,0,0.00451,0,0,0.00451
Dietzia aerolata,0,0,0.00447,0,0,0.00447
Enterococcus casseliflavus,0.00444,0,0,0,0,0.00444
GGB108659 SGB193402,0,0,0.00443,0,0,0.00443
Intrasporangium flavum,0,0,0,0,0.00436,0.00436
Allomuricauda sp ARW1Y1,0,0.00426,0,0,0,0.00426
Loktanella sp PT4BL,0,0,0.00414,0,0,0.00414
Demequina sp NBRC 110052,0,0.00227,0.0018600000000000001,0,0,0.00413
Pusillimonas caeni,0,0.00406,0,0,0,0.00406
Cytobacillus gottheilii,0,0.00402,0,0,0,0.00402
GGB43300 SGB90439,0,0,0.00396,0,0,0.00396
Shinella sp XGS7,0,0,0,0,0.00392,0.00392
Chryseomicrobium excrementi,0,0,0.00386,0,0,0.00386
Fictibacillus phosphorivorans,0,0.00217,0.00165,0,0,0.00382
Pseudidiomarina taiwanensis,0,0,0.00381,0,0,0.00381
Saccharopolyspora sp HNM0983,0,0.0037200000000000002,0,0,0,0.0037200000000000002
GGB60247 SGB82192,0.0013,0.00199,3.9e-4,0,0,0.00368
Altererythrobacter sp CAU 1644,0,0.00117,0.00245,0,0,0.00362
Hyphomonas sp CY54 11 8,1.8e-4,0,0.00344,0,0,0.00362
Aequorivita iocasae,0,5.3e-4,0.00307,0,0,0.0036
Kushneria konosiri,0,0,0.00358,0,0,0.00358
Defluviimonas denitrificans,1.6e-4,0.0021,0.00122,0,0,0.00348
Dietzia cinnamea,0,0,0.00342,0,0,0.00342
Gordonia amicalis,0,0.00339,0,0,0,0.00339
Methanobrevibacter smithii,0,0,0.00335,0,0,0.00335
Qipengyuania huizhouensis,0,0,0.00335,0,0,0.00335
GGB42957 SGB57748,0,0,0.00334,0,0,0.00334
Streptomyces tropicalis,0,0,0,0,0.00334,0.00334
GGB59727 SGB81551,0.00169,0,0.00161,0,0,0.0033
Roseivivax marinus,0,0,0.00329,0,0,0.00329
Lysinibacillus louembei,0.00182,0.00142,0,0,0,0.00324
Limosilactobacillus fermentum,0,0,0.00321,0,0,0.00321
Serinicoccus sediminis,0,0,0.00316,0,0,0.00316
Marivivens donghaensis,0,0,0.00312,0,0,0.00312
Isoptericola chiayiensis,0,0,0.00309,0,0,0.00309
Microbacterium luteum,0,0,0.00309,0,0,0.00309
Polynucleobacter sp MWH Spelu 300 X4,0,0,0,0,0.00308,0.00308
Cereibacter sphaeroides,0,0,0.00307,0,0,0.00307
Novilysobacter arseniciresistens,0,0,0.00306,0,0,0.00306
Marivivens niveibacter,0,0,0.00304,0,0,0.00304
Tsuneonella flava,0,0,0.00304,0,0,0.00304
GGB46612 SGB64482,0,0,0.00301,0,0,0.00301
Nocardioides sp TRM66260 LWL,0,0,0,0,0.00299,0.00299
Clostridiaceae bacterium HFYG 1003,0,0,0.00298,0,0,0.00298
GGB110760 SGB195771,0,0,0.00295,0,0,0.00295
Candida tropicalis,0,0,0.0029,0,0,0.0029
GGB98133 SGB138700,0,0,0.0029,0,0,0.0029
Mycolicibacterium duvalii,0,0.00145,0.00145,0,0,0.0029
Marinobacterium sp LSUCC0821,0,0,0.00287,0,0,0.00287
Ornithinimicrobium humiphilum,0,0,0.00284,0,0,0.00284
Psychrobacter coccoides,0,0,0.00283,0,0,0.00283
Alkalimarinus sediminis,0,0,0.00273,0,0,0.00273
Aequorivita xiaoshiensis,0,0,0.0027,0,0,0.0027
Aurantiacibacter xanthus,0,0,0.0027,0,0,0.0027
Cobetia marina,0,0,0.00258,0,0,0.00258
Erythrobacter fulvus,0,0.00257,0,0,0,0.00257
Agrobacterium larrymoorei,0,0,0,0,0.00254,0.00254
GGB90658 SGB127212,0,0,0,0.00253,0,0.00253
GGB132275 SGB184675,0,0,0,0,0.00247,0.00247
Solibacillus daqui,0,0.00247,0,0,0,0.00247
Cyclobacterium sp 1 MG 2023,0,0.00242,0,0,0,0.00242
GGB46774 SGB64663,0,0,0.00233,0,0,0.00233
Janibacter anophelis,0,0,0.00231,0,0,0.00231
Clostridium tertium,0.00226,0,0,0,0,0.00226
Nonlabens tegetincola,0,0.00126,9.8e-4,0,0,0.00224
GGB6246 SGB8904,0.00223,0,0,0,0,0.00223
Corynebacterium phoceense,0,0,0.00222,0,0,0.00222
Arthrobacter koreensis,0,0,0.00219,0,0,0.00219
Corynebacterium dentalis,0,0,0.00216,0,0,0.00216
Mesobacillus subterraneus,0.00118,9.6e-4,0,0,0,0.00214
Pseudalkalibacillus spartinae,0,0.00212,0,0,0,0.00212
Paracoccus sp MBLB3053,0,0,0.00204,0,0,0.00204
Pseudoxanthomonas winnipegensis,0,0,0,0,0.00204,0.00204
Brevundimonas poindexterae,0,0,0.00203,0,0,0.00203
Corynebacterium vitaeruminis,1.8e-4,1.4e-4,0.00166,0,0,0.00198
Brachybacterium saurashtrense,0,0,0.00195,0,0,0.00195
Bacillus altitudinis,0,0.00194,0,0,0,0.00194
Polaribacter gangjinensis,0,0,0.00192,0,0,0.00192
Microbacterium sp p3 SID336,0,0,0.00175,0,0,0.00175
Schaalia sp JY X169,0,0,0.00175,0,0,0.00175
Brevundimonas vesicularis,0,0,0.00173,0,0,0.00173
Isoptericola SGB129906,0,0,0.00171,0,0,0.00171
Sphingomonas koreensis,0,0,0.00166,0,0,0.00166
Saprospirales bacterium GYS P2D,0,0,0.00162,0,0,0.00162
Collinsella aerofaciens,0,0,0.00155,0,0,0.00155
Exiguobacterium chiriqhucha,0,0.00153,0,0,0,0.00153
Rhodococcoides kroppenstedtii,0,0,0.00153,0,0,0.00153
Exiguobacterium sp AM39 5BH,0,0,0.00152,0,0,0.00152
GGB8990 SGB13861,0,0,0.00152,0,0,0.00152
Nocardioides malaquae,0,0,0.00151,0,0,0.00151
Paracoccus albicereus,0,4.8e-4,0.00102,0,0,0.0015
Microbacterium arborescens,0,0,0.00149,0,0,0.00149
Bifidobacterium minimum,0,0,0.00147,0,0,0.00147
Romboutsia timonensis,0,0,0.00147,0,0,0.00147
Exiguobacterium acetylicum,0,0,0.00145,0,0,0.00145
GGB68165 SGB140159,0,0,0.00144,0,0,0.00144
Qipengyuania polymorpha,0,8.4e-4,5.8e-4,0,0,0.00142
Microbacterium telephonicum,0,0,0.00141,0,0,0.00141
Clostridiaceae bacterium AF10 41,0.00139,0,0,0,0,0.00139
GGB138701 SGB185574,5.8e-4,5.3e-4,2.8e-4,0,0,0.00139
Pontibacillus sp HN14,0,0,0.00139,0,0,0.00139
Rhodobacteraceae bacterium EhC02,0,0,0.00139,0,0,0.00139
Roseivivax halodurans,0,0,0.00137,0,0,0.00137
Microbacterium binotii,0,0,0.00129,0,0,0.00129
GGB39200 SGB57355,0,0.00121,0,0,0,0.00121
Sporosarcina saromensis,0,0.00121,0,0,0,0.00121
Microbulbifer sp ALW1,0,2.1e-4,9.8e-4,0,0,0.00119
GGB60258 SGB82204,0,0,0.00117,0,0,0.00117
Bifidobacterium longum,0,0,0.00116,0,0,0.00116
Hyphomonas sediminis,0,0.00115,0,0,0,0.00115
Bacteroides graminisolvens,0,0,0.00114,0,0,0.00114
Microbacterium sufflavum,0,0,0.00114,0,0,0.00114
Microbacterium sp C7 2022,0,0,0.00106,0,0,0.00106
Loktanella gaetbuli,0,0,0.00105,0,0,0.00105
Leucobacter sp Psy1,0,0,0.00104,0,0,0.00104
Mangrovibacterium diazotrophicum,0.00103,0,0,0,0,0.00103
Flagellimonas marinaquae,0,0.001,0,0,0,0.001
Flavobacteriaceae bacterium NBU2977,0,0,0.001,0,0,0.001
Niallia circulans,0,9.8e-4,0,0,0,9.8e-4
Allomuricauda sp M10,0,9.7e-4,0,0,0,9.7e-4
Isoptericola jiangsuensis,0,0,9.7e-4,0,0,9.7e-4
Aequorivita SGB2713,0,0,0.00093000000000000005,0,0,0.00093000000000000005
Flagellimonas aequoris,0,0.00093000000000000005,0,0,0,0.00093000000000000005
Sutcliffiella horikoshii,0,0.00093000000000000005,0,0,0,0.00093000000000000005
GGB53691 SGB74832,0,0,8.9e-4,0,0,8.9e-4
Klebsiella pneumoniae,0,0,8.9e-4,0,0,8.9e-4
Proteiniclasticum ruminis,8.8e-4,0,0,0,0,8.8e-4
GGB75461 SGB170944,8.2e-4,5e-5,0,0,0,8.7e-4
Novosphingobium jiangmenense,0,0,0,0,8.7e-4,8.7e-4
Chryseomicrobium aureum,0,0,8.3e-4,0,0,8.3e-4
Robertmurraya kyonggiensis,0,8e-4,0,0,0,8e-4
Deinococcus soli ex Cha et al 2016,0,0,7.9e-4,0,0,7.9e-4
Clostridium aquiflavi,7.7e-4,0,0,0,0,7.7e-4
Pelagovum pacificum,0,0,7.5e-4,0,0,7.5e-4
Lactococcus lactis,0,0,7.4e-4,0,0,7.4e-4
GGB132819 SGB182059,0,0,7.3e-4,0,0,7.3e-4
Corynebacterium sp SCR221107,0,0,7.2e-4,0,0,7.2e-4
Roseibium aestuarii,0,0,7.1e-4,0,0,7.1e-4
Seohaeicola sp 4SK31,0,0,7.1e-4,0,0,7.1e-4
beta proteobacterium KB13,0,0,6.9e-4,0,0,6.9e-4
GGB57431 SGB79004,0,0,0,0,6.5e-4,6.5e-4
Propioniciclava sp MC1595,0,0,6.5e-4,0,0,6.5e-4
Rhodovulum sp FJ3,0,0,6.5e-4,0,0,6.5e-4
Nesterenkonia massiliensis,0,0,6.4e-4,0,0,6.4e-4
Luteimonas sp JM171,0,0,6.1e-4,0,0,6.1e-4
Zunongwangia pacifica,0,0,6e-4,0,0,6e-4
Kocuria SGB98773,0,0,5.8e-4,0,0,5.8e-4
Paracoccus yeei,0,0,5.7e-4,0,0,5.7e-4
Maribellus luteus,5.5e-4,0,0,0,0,5.5e-4
Bacillus sp N1 1,0,5.4e-4,0,0,0,5.4e-4
Salinibacterium amurskyense,0,0,5.1e-4,0,0,5.1e-4
GGB63480 SGB85789,0,0,5e-4,0,0,5e-4
Lysinibacillus sp SGAir0095,0,5e-4,0,0,0,5e-4
Microbulbifer sp HZ11,0,0,4.9e-4,0,0,4.9e-4
Halopseudomonas pachastrellae,0,0,4.8e-4,0,0,4.8e-4
Candidatus Aquarickettsia rohweri,0,0,4.5e-4,0,0,4.5e-4
Altererythrobacter sp C41,0,0,4.4e-4,0,0,4.4e-4
Microbacterium hydrocarbonoxydans,0,0,4.4e-4,0,0,4.4e-4
Brevibacillus centrosporus,0,4.1e-4,0,0,0,4.1e-4
Mesonia maritima,0,0,4.1e-4,0,0,4.1e-4
Zunongwangia sp HGR M22,0,0,4.1e-4,0,0,4.1e-4
Aurantiacibacter SGB38248,0,0,4e-4,0,0,4e-4
Luteimonas padinae,0,0,3.9e-4,0,0,3.9e-4
Qipengyuania algicida,0,0,3.8e-4,0,0,3.8e-4
Sphingomonas dokdonensis,0,0,3.7e-4,0,0,3.7e-4
GGB43700 SGB177887,0,0,3.6e-4,0,0,3.6e-4
GGB45720 SGB63440,0,0,3.6e-4,0,0,3.6e-4
Metabacillus schmidteae,0,3.6e-4,0,0,0,3.6e-4
Pseudooceanicola onchidii,0,0,3.6e-4,0,0,3.6e-4
Heyndrickxia oleronia,0,3.5e-4,0,0,0,3.5e-4
Microbacterium foliorum,0,0,3.5e-4,0,0,3.5e-4
Gordonia namibiensis,0,0,3.2e-4,0,0,3.2e-4
Paucisalibacillus globulus,0,3.2e-4,0,0,0,3.2e-4
Tessaracoccus lapidicaptus,0,0,3.1e-4,0,0,3.1e-4
Nostocoides sp F2B08,0,3e-4,0,0,0,3e-4
GGB68272 SGB92186,0,0,2.9e-4,0,0,2.9e-4
GGB55957 SGB77276,2.7e-4,0,0,0,0,2.7e-4
Clostridium weizhouense,2.6e-4,0,0,0,0,2.6e-4
Marivita geojedonensis,2.5e-4,0,0,0,0,2.5e-4
Microbacteriaceae bacterium PS02066,0,0,2.5e-4,0,0,2.5e-4
Marilutibacter aestuarii,0,2.3e-4,0,0,0,2.3e-4
Qipengyuania vulgaris,0,9e-5,1.4e-4,0,0,2.3e-4
Qipengyuania mesophila,0,0,2.2e-4,0,0,2.2e-4
Microbacterium sp 1 5R,0,0,2.1e-4,0,0,2.1e-4
Microbacterium oleivorans,0,0,2e-4,0,0,2e-4
Aurantiacibacter odishensis,0,0,1.9e-4,0,0,1.9e-4
Mesonia mobilis,0,0,1.7e-4,0,0,1.7e-4
Bacillus sinesaloumensis,0,1.6e-4,0,0,0,1.6e-4
Jiulongibacter sediminis,0,0,1.4e-4,0,0,1.4e-4
Rhodococcus sp HNM0569,0,0,1.4e-4,0,0,1.4e-4
GGB16199 SGB24558,1.1e-4,0,0,0,0,1.1e-4
Arenibacter certesii,0,1e-4,0,0,0,1e-4
Paracoccus aerius,0,0,8e-5,0,0,8e-5
Henriciella algicola,0,0,7e-5,0,0,7e-5
Aurantiacibacter suaedae,0,0,5e-5,0,0,5e-5
GGB134974 SGB177300,4e-5,0,0,0,0,4e-5
