taxon,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,total
Microbacterium paraoxydans,0,3.3e-4,0.29523,0,0,0.29556
Polynucleobacter sp HIN8,0,0,0,0,0.29542,0.29542
GGB43317 SGB60623,0,0,0.29501,0,0,0.29501
Massilia terrae,0,0,0,0.29398,0,0.29398
Qipengyuania proteolytica,0.00214,0.20832,0.08063,0,0,0.29109
Bacillus enclensis,0.0275,0.25621,0.00711,0,0,0.29081999999999997
Acinetobacter johnsonii,0,0,0,0,0.28683,0.28683
Paracoccus sediminilitoris,0,0,0.28307,0,0,0.28307
Celeribacter sp HF31,0.1045,0.01235,0.16459,0,0,0.28143999999999997
Marinifilum fragile,0.28051,0,0,0,0,0.28051
Paracoccus zeaxanthinifaciens,0.06518,0.1913,0.02294,0,0,0.27942
Crenobacter oryzisoli,0,0,0,0.27771,0,0.27771
Psychrobacter piechaudii,0.10694,0.036,0.13345,0,0,0.27639
Streptomyces sp PsTaAH 130,0,0,0,0,0.27129,0.27129
Brachybacterium aquaticum,0.00135,6.9e-4,0.26817,0,0,0.27021
Psychrobacter arenosus,0.0169,0.22646,0.02555,0,0,0.26891
GGB90662 SGB127188,0,0,0,0.26776,0,0.26776
Psychrobacter submarinus,0.01649,0.02519,0.22095,0,0,0.26263000000000003
Herbaspirillum aquaticum,0,0,0,0,0.26239,0.26239
Cytobacillus oceanisediminis,0.1497,0.11046,0.00122,0,0,0.26138
Planococcus plakortidis,0.01591,0.19972,0.0245,0,0,0.24013
Acetoanaerobium noterae,0.23965,0,0,0,0,0.23965
GGB92565 SGB133354,0,0,0,0.22972,0,0.22972
Psychrobacter cryohalolentis,0.03749,0.089,0.10081,0,0,0.2273
Mesobacillus selenatarsenatis,0.0501,0.17409,0,0,0,0.22419
Meridianimaribacter flavus,0.00329,0.20622,0.00759,0,0,0.2171
Loktanella sp 3ANDIMAR09,0,0,0.21183,0,0,0.21183
GGB88573 SGB124808,0,0,0,0.1997,0,0.1997
Leeuwenhoekiella nanhaiensis,0,0.09032,0.10888,0,0,0.1992
Terrisporobacter hibernicus,0.19794,0,0,0,0,0.19794
Xanthomarina gelatinilytica,0,0.17481,0.0226,0,0,0.19741
Marilutibacter spongiae,0,0.15175,0.0433,0,0,0.19505
Exiguobacterium alkaliphilum,0.03424,0.14569,0.01463,0,0,0.19455999999999998
Rossellomorea vietnamensis,0.01875,0.16588,0,0,0,0.18463
Ornithinimicrobium kibberense,0.00131,0.01432,0.16671,0,0,0.18234
Deinococcus aquiradiocola,0,0,0,0,0.17936,0.17936
Microbacterium esteraromaticum,0,0.17588,8.5e-4,0,0,0.17673
GGB93529 SGB132218,0,0,0,0.17057,0,0.17057
Pandoraea sputorum,0,0,0,0,0.16989,0.16989
Aquitalea pelogenes,0,0,0,0,0.15514,0.15514
Proteiniclasticum aestuarii,0.15055,0,0,0,0,0.15055
Priestia megaterium,0,0.14874,0,0,0,0.14874
Delftia acidovorans,0,0,0,0,0.1466,0.1466
Novosphingobium pokkalii,0,0,0,0,0.14462,0.14462
Paenirhodobacter sp CAU 1674,0.009,0.12692,0.00422,0,0,0.14014000000000001
Paracoccus maritimus,0,0.06606,0.0738,0,0,0.13985999999999998
Salinicoccus roseus,0,0,0.13968,0,0,0.13968
Curtobacterium citreum,0,0,0,0,0.13771,0.13771
Marivivens SGB10879,0,0,0.13688,0,0,0.13688
Rossellomorea aquimaris,0.01864,0.112,6.2e-4,0,0,0.13126000000000002
Vagococcus fluvialis,0.12874,0,0,0,0,0.12874
GGB31920 SGB55883,0,0,0.12682,0,0,0.12682
Trebonia kvetii,0,0,0,0.12594,0,0.12594
Marinobacter nauticus,9.4e-4,0.12466000000000001,0,0,0,0.12560000000000002
GGB52798 SGB73712,0,0,0,0.12449,0,0.12449
Psychrobacter sp NG27,0.0722,0.01362,0.038,0,0,0.12382
GGB91352 SGB134892,0,0,0,0.12262,0,0.12262
Aneurinibacillus uraniidurans,0,0,0,0.12174,0,0.12174
Acinetobacter soli,0,0,0,0,0.12123,0.12123
GGB94008 SGB130022,0,0,0,0.12026,0,0.12026
Bacillus paranthracis,0,0.11942,0,0,0,0.11942
Flagellimonas beolgyonensis,0,0.11751,0,0,0,0.11751
Ornithinimicrobium flavum,0,0.00593,0.11145,0,0,0.11738
Kocuria flava,0,0,0.11647,0,0,0.11647
Psychrobacter phenylpyruvicus,0.02403,0.03787,0.05442,0,0,0.11632
Streptomyces bauhiniae,0,0,0,0,0.11513,0.11513
Polynucleobacter sp MWH UH25E,0,0,0,0,0.11412,0.11412
GGB110264 SGB196191,0,0,0,0,0.11256,0.11256
Erythrobacter sp SD 21,0,0.05454,0.05783,0,0,0.11237
Rhodococcus pyridinivorans,0,0,0.10714,0,0,0.10714
Lutimaribacter saemankumensis,0.01405,0.0713,0.02085,0,0,0.1062
Cytobacillus firmus,0.00559,0.10032,0,0,0,0.10591
Winogradskyella sp MH6,0.00307,0.09729,0.00163,0,0,0.10199
Polynucleobacter sp 31A FELB,0,0,0,0,0.10139,0.10139
Ruegeria sp HKCCSA071,0.0162,0.01392,0.07124,0,0,0.10135999999999999
Qipengyuania intermedia,5.3e-4,0.05804,0.04195,0,0,0.10052
Mycobacterium sp SMC 2,0,0,0,0.09973,0,0.09973
Lysinibacillus fusiformis,0.01956,0.07961,0,0,0,0.09917000000000001
Leifsonia sp TF02 11,0,0,0,0.09827,0,0.09827
Enterobacter cloacae,0,0,0,0,0.09648,0.09648
Priestia flexa,1.7e-4,0.070930000000000007,0.02425,0,0,0.09535
Microbacterium gawkjiense,0,0,0.09518,0,0,0.09518
Microbacterium SGB87885,0,0.00573,0.08905,0,0,0.09478
Sulfitobacter pontiacus,0,0,0.09425,0,0,0.09425
GGB60033 SGB81933,0,0,0.09148,0,0,0.09148
Lapillicoccus jejuensis,0,0,0,0,0.09084,0.09084
Demequina litorisediminis,0,0,0.0905,0,0,0.0905
Janibacter SGB99000,0.0064,0.02125,0.06132,0,0,0.08897000000000001
Gottfriedia endophytica,0,0,0,0.08871,0,0.08871
Christiangramia gaetbulicola,0,0,0.08712,0,0,0.08712
Pseudomonas denitrificans nom rej,0,0,0,0,0.08679,0.08679
Trichococcus flocculiformis,0.08567,0,0,0,0,0.08567
Microbulbifer litoralis,0,0,0.08527,0,0,0.08527
Kytococcus sedentarius,0,0,0.08518,0,0,0.08518
Amantichitinum ursilacus,0,0,0,0,0.08438,0.08438
GGB66792 SGB90437,0,0,0.08429,0,0,0.08429
Fictibacillus halophilus,0,0.08426,0,0,0,0.08426
Microbacterium galbum,0,0,0,0,0.08372,0.08372
Salegentibacter mishustinae,0,0.00513,0.07784,0,0,0.08297
Hyphomonas jannaschiana,0,0.01264,0.07027,0,0,0.08291
Acinetobacter venetianus,0.07692,0,0.0059,0,0,0.08282
Microbacterium hominis,0,0,0,0,0.08262,0.08262
Lactococcus petauri,0.07968,0,0,0,0,0.07968
Micrococcus terreus,0,0,0.07589,0,0,0.07589
GGB92506 SGB133129,0,0,0,0.07293,0,0.07293
GGB64439 SGB86925,0,0,0,0.07241,0,0.07241
Qipengyuania gelatinilytica,8e-5,0.0495,0.02237,0,0,0.07195
Microbacterium schleiferi,6.6e-4,0,0.07064,0,0,0.07129999999999999
Rhodococcus qingshengii,0,0,0.0711,0,0,0.0711
Clostridium sulfidigenes,0.07067,0,0,0,0,0.07067
Bacillus cereus,0.00523,0.06487,0,0,0,0.0701
Pseudomonas sp LRP2 20,0,0,0,0,0.06982,0.06982
Microbacterium aurantiacum,0,0,0.0685,0,0,0.0685
Paenibacillus sp HW567,0,0,0,0.06662,0,0.06662
Leeuwenhoekiella palythoae,0,0.04173,0.0244,0,0,0.06613000000000001
Psychrobacter sp 5A 1,0.02006,0.02748,0.01791,0,0,0.06545000000000001
