status,n_SGB,mean_abundance_Bietry,total_abundance_Bietry,mean_abundance_Kassembie,total_abundance_Kassembie
Named species,599,0.16027207011686143,96.00297,0.09839095993322204,58.936185
Undescribed,131,0.030511170483460557,3.996963333333333,0.3134645038167939,41.06385
